"","employee","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",44106.9597192109,44592.5306470599,485.570927849039,TRUE
"2","Employee 2",45012.237643823,46647.9543049354,1635.71666111238,TRUE
"3","Employee 3",47731.9554262795,52661.2667378504,4929.31131157093,TRUE
"4","Employee 4",49346.0986623541,47364.1280899756,-1981.97057237849,FALSE
"5","Employee 5",40648.4279595315,41485.1525390986,836.72457956709,TRUE
"6","Employee 6",47058.9640340768,42299.428175902,-4759.53585817479,FALSE
"7","Employee 7",42319.2892689258,51427.8275705874,9108.53830166161,TRUE
"8","Employee 8",46115.7378880307,41497.7993571665,-4617.93853086419,FALSE
"9","Employee 9",47526.9976630807,43240.7152582891,-4286.28240479156,FALSE
"10","Employee 10",42239.943225868,51014.6142344456,8774.67100857757,TRUE
"11","Employee 11",46187.0326823555,43744.7190575767,-2442.31362477876,FALSE
"12","Employee 12",40026.5693268739,42979.41106488,2952.8417380061,TRUE
"13","Employee 13",46927.6361749507,44638.3028023411,-2289.33337260969,FALSE
"14","Employee 14",42299.4947386906,47075.762298191,4776.26755950041,TRUE
"15","Employee 15",41175.2634728327,43906.8307622802,2731.56728944741,TRUE
"16","Employee 16",47325.6358108483,44990.1128397323,-2335.52297111601,FALSE
"17","Employee 17",49609.0308087878,56984.6949831117,7375.6641743239,TRUE
"18","Employee 18",45306.5830469131,48498.9103325643,3192.32728565112,TRUE
"19","Employee 19",42866.4031112567,44716.9792221393,1850.57611088268,TRUE
"20","Employee 20",45895.3907294199,50743.7596435193,4848.36891409941,TRUE
"21","Employee 21",46572.824511677,50047.2402293235,3474.41571764648,TRUE
"22","Employee 22",45399.8193284497,46255.7711417321,855.951813282445,TRUE
"23","Employee 23",47431.4070097171,48868.3360838331,1436.92907411605,TRUE
"24","Employee 24",47486.8231196888,48651.2784683146,1164.45534862578,TRUE
"25","Employee 25",40458.7199352682,47030.6905871257,6571.97065185755,TRUE
"26","Employee 26",42273.9614546299,46769.0210661385,4495.05961150862,TRUE
"27","Employee 27",49145.0781538151,47695.9286397323,-1449.14951408282,FALSE
"28","Employee 28",49396.4651459828,48908.0566621851,-488.408483797684,FALSE
"29","Employee 29",42619.2126818933,47499.6369588189,4880.42427692562,TRUE
"30","Employee 30",47393.854521215,44025.4491486121,-3368.40537260287,FALSE
"31","Employee 31",49866.0665447824,52752.6639157441,2886.59737096168,TRUE
"32","Employee 32",46472.7573492564,56339.882411994,9867.12506273761,TRUE
"33","Employee 33",44513.0197354592,49688.9660821762,5175.94634671696,TRUE
"34","Employee 34",48663.7484654784,56310.8576054219,7647.1091399435,TRUE
"35","Employee 35",43303.6799542606,43762.589605758,458.909651497379,TRUE
"36","Employee 36",47987.9220342264,44528.4732640721,-3459.44877015427,FALSE
"37","Employee 37",45608.927924186,41128.9484857116,-4479.9794384744,FALSE
"38","Employee 38",40811.6490300745,43740.5015411787,2928.8525111042,TRUE
"39","Employee 39",43470.9722013213,52070.0470288284,8599.07482750714,TRUE
"40","Employee 40",48470.7056195475,57506.3106382731,9035.60501872562,TRUE
"41","Employee 41",41688.5431646369,41546.3274752256,-142.215689411387,FALSE
"42","Employee 42",46263.6026064865,47872.4433167372,1608.84071025066,TRUE
"43","Employee 43",40805.499991402,47300.1015733462,6494.60158194415,TRUE
"44","Employee 44",40948.3664040454,36544.2577772774,-4404.10862676799,FALSE
"45","Employee 45",41901.8274336122,38923.4409248456,-2978.38650876656,FALSE
"46","Employee 46",48036.2236266956,47410.9989369754,-625.224689720199,FALSE
"47","Employee 47",43390.4908201657,45643.2159664109,2252.72514624521,TRUE
"48","Employee 48",46904.9194199033,52416.6042427532,5511.68482284993,TRUE
"49","Employee 49",49754.2971256189,53073.6118019558,3319.31467633694,TRUE
"50","Employee 50",41659.2172859237,37273.2389881276,-4385.9782977961,FALSE
"51","Employee 51",40344.9602937326,40102.563786786,-242.396506946534,FALSE
"52","Employee 52",42598.4512385912,49415.0262349285,6816.57499633729,TRUE
"53","Employee 53",48663.737133611,48070.0437910855,-593.693342525512,FALSE
"54","Employee 54",41223.0459740385,42053.7542295642,830.708255525678,TRUE
"55","Employee 55",49661.6883878596,49576.0262093972,-85.6621784623712,FALSE
"56","Employee 56",48060.4607169516,48385.4785980657,325.017881114036,TRUE
"57","Employee 57",43398.0337507091,44153.3341235481,755.300372838974,TRUE
"58","Employee 58",48561.5019896068,50080.7699072175,1519.2679176107,TRUE
"59","Employee 59",45532.3750432581,54646.4183239732,9114.04328071512,TRUE
"60","Employee 60",44043.2264562696,43876.9133121241,-166.313144145533,FALSE
"61","Employee 61",49347.735256888,47626.3866014779,-1721.34865541011,FALSE
"62","Employee 62",41703.9480037056,45568.2451883331,3864.2971846275,TRUE
"63","Employee 63",49004.8669185489,48969.6695457678,-35.1973727811128,FALSE
"64","Employee 64",48265.3215131722,48606.7735089455,341.451995773241,TRUE
"65","Employee 65",45101.5767338686,45208.080568118,106.503834249452,TRUE
"66","Employee 66",41959.2939293943,46314.6989466622,4355.40501726791,TRUE
"67","Employee 67",48199.0272062831,52113.110643113,3914.08343682997,TRUE
"68","Employee 68",42702.2244688123,48527.9327188618,5825.7082500495,TRUE
"69","Employee 69",40421.3379300199,46108.456220245,5687.11829022504,TRUE
"70","Employee 70",43560.0698180497,52120.1117779128,8560.04195986316,TRUE
"71","Employee 71",46627.4916986004,43551.4921508729,-3075.99954772741,FALSE
"72","Employee 72",46545.2822297812,42938.187206164,-3607.09502361715,FALSE
"73","Employee 73",48874.882766977,51534.9314606283,2660.04869365133,TRUE
"74","Employee 74",42485.0599817,50789.0777604189,8304.01777871884,TRUE
"75","Employee 75",46777.2191017866,52258.0476978328,5480.82859604619,TRUE
"76","Employee 76",44407.3637295514,52749.9988081399,8342.6350785885,TRUE
"77","Employee 77",48587.1066455729,53752.7205783408,5165.61393276788,TRUE
"78","Employee 78",48815.2946787886,52758.5298370104,3943.2351582218,TRUE
"79","Employee 79",42025.9526534937,42089.692800073,63.7401465792209,TRUE
"80","Employee 80",45596.6410599649,48572.7207548916,2976.07969492674,TRUE
"81","Employee 81",41046.2860600092,41050.5398537498,4.25379374064505,TRUE
"82","Employee 82",40048.0853812769,49379.2450858746,9331.15970459767,TRUE
"83","Employee 83",47644.4319263101,48146.1666489486,501.734722638503,TRUE
"84","Employee 84",49980.4488942027,50806.843029568,826.394135365263,TRUE
"85","Employee 85",41897.8296220303,40149.9355072156,-1747.8941148147,FALSE
"86","Employee 86",41005.7564172894,43443.0097101722,2437.25329288282,TRUE
"87","Employee 87",49625.0541438349,45032.7485066373,-4592.30563719757,FALSE
"88","Employee 88",44185.3368049487,46899.4764937088,2714.13968876004,TRUE
"89","Employee 89",42598.0881601572,40126.7091650516,-2471.37899510562,FALSE
"90","Employee 90",40168.236901518,49164.2673511524,8996.03044963442,TRUE
"91","Employee 91",46759.3975132331,46149.6387270745,-609.758786158636,FALSE
"92","Employee 92",49317.4927146174,48443.1745740585,-874.318140558898,FALSE
"93","Employee 93",49617.1078784391,46997.2927682102,-2619.81511022896,FALSE
"94","Employee 94",45893.2720148005,49693.1024768855,3799.83046208508,TRUE
"95","Employee 95",45573.1426598504,47873.897200916,2300.75454106554,TRUE
"96","Employee 96",42951.8326022662,49399.5721579995,6447.73955573328,TRUE
"97","Employee 97",43628.8784514181,46342.8364484571,2713.95799703896,TRUE
"98","Employee 98",49365.6557495706,58262.5317247584,8896.87597518787,TRUE
"99","Employee 99",40506.5779970028,47816.5603487287,7309.98235172592,TRUE
"100","Employee 100",43033.572724089,51674.4340385776,8640.86131448857,TRUE
